customer_id,age,gender,income,region,signup_days_ago
CUST00001,56.0,Male,32492.66,Central,1596
CUST00002,69.0,Male,65881.28,East,1368
CUST00003,46.0,Female,70882.0,Central,1020
CUST00004,32.0,Other,46862.37,West,1850
CUST00005,60.0,Male,46539.24,Central,647
CUST00006,,Female,59785.81,South,1789
CUST00007,38.0,Male,47139.04,North,302
CUST00008,56.0,Female,53809.61,West,1963
CUST00009,36.0,Male,92794.99,West,261
CUST00010,40.0,Male,50553.54,South,1473
CUST00011,28.0,Female,48549.88,Central,797
CUST00012,28.0,Male,43344.25,North,1495
CUST00013,41.0,Female,68395.46,West,525
CUST00014,53.0,Female,51737.96,North,1077
CUST00015,57.0,Female,43311.29,West,1162
CUST00016,41.0,Male,78783.47,Central,1756
CUST00017,20.0,Male,80552.85,West,531
CUST00018,39.0,Male,44192.38,West,1912
CUST00019,19.0,Other,21402.28,East,54
CUST00020,41.0,Female,73135.25,Central,1240
CUST00021,61.0,Female,42676.66,South,317
CUST00022,47.0,Female,69231.26,South,1681
CUST00023,55.0,Female,19538.13,Central,367
CUST00024,19.0,Female,71066.75,South,1931
CUST00025,38.0,Male,33198.91,Central,1967
CUST00026,50.0,Female,68153.75,South,1090
CUST00027,29.0,Male,55256.92,East,1847
CUST00028,39.0,Female,37829.09,South,166
CUST00029,61.0,Female,47673.35,West,537
CUST00030,,Female,67353.73,Central,256
CUST00031,66.0,Male,56906.1,North,349
CUST00032,44.0,Male,65519.43,North,1893
CUST00033,59.0,Male,90575.93,Central,945
CUST00034,45.0,Male,26843.65,East,1235
CUST00035,33.0,Male,84109.83,South,1927
CUST00036,32.0,Female,56878.41,East,115
CUST00037,64.0,Female,38821.89,North,1520
CUST00038,68.0,Male,31054.35,Central,955
CUST00039,61.0,Male,51595.83,Central,82
CUST00040,69.0,Male,71589.7,East,889
CUST00041,20.0,Female,52704.12,East,896
CUST00042,54.0,Female,82200.79,South,1288
CUST00043,68.0,Female,28878.84,West,1832
CUST00044,24.0,Female,54782.4,West,1852
CUST00045,38.0,Other,32456.92,South,462
CUST00046,26.0,Female,61545.37,West,1549
CUST00047,56.0,Male,70963.97,North,1028
CUST00048,35.0,Female,47426.29,West,129
CUST00049,21.0,Male,12000.0,South,1019
CUST00050,42.0,Female,58581.07,West,628
CUST00051,31.0,Male,62861.29,Central,432
CUST00052,67.0,Female,62277.31,East,425
CUST00053,26.0,Female,77244.08,North,1580
CUST00054,43.0,Female,35721.03,Central,444
CUST00055,19.0,Female,67243.89,Central,968
CUST00056,37.0,Male,76465.14,South,1666
CUST00057,,Male,22985.42,East,706
CUST00058,,Male,60753.73,East,492
CUST00059,24.0,Male,45924.76,North,570
CUST00060,61.0,Female,53532.59,South,1679
CUST00061,25.0,Male,61258.18,North,1672
CUST00062,64.0,Other,46229.89,West,1975
CUST00063,52.0,Female,42837.25,Central,1417
CUST00064,31.0,Female,55614.74,North,1183
CUST00065,34.0,Male,35429.57,Central,113
CUST00066,53.0,Female,35455.15,South,300
CUST00067,,Female,67228.72,West,273
CUST00068,57.0,Female,34321.71,South,417
CUST00069,21.0,Female,66993.63,West,243
CUST00070,19.0,Female,63326.64,West,847
CUST00071,23.0,Male,23935.48,Central,1219
CUST00072,59.0,Female,42803.84,South,1844
CUST00073,21.0,Male,76493.97,South,88
CUST00074,46.0,Male,37339.02,North,1655
CUST00075,35.0,Male,46640.72,South,912
CUST00076,43.0,Male,63317.1,North,872
CUST00077,61.0,Male,69101.03,East,953
CUST00078,51.0,Male,50472.3,East,1557
CUST00079,27.0,Other,44244.82,East,1759
CUST00080,53.0,Female,80602.66,South,152
CUST00081,31.0,Other,86300.19,South,1701
CUST00082,48.0,Male,72619.44,North,1466
CUST00083,65.0,Male,56535.73,West,1192
CUST00084,32.0,Female,40451.22,North,1282
CUST00085,25.0,Male,40052.0,East,1327
CUST00086,31.0,Male,64405.25,North,468
CUST00087,40.0,Female,62531.17,West,1051
CUST00088,57.0,Male,80228.77,South,591
CUST00089,38.0,Female,66708.1,North,1963
CUST00090,33.0,Female,27944.55,East,147
CUST00091,62.0,Male,,East,1767
CUST00092,35.0,Male,37034.91,South,934
CUST00093,64.0,Female,48088.52,North,1536
CUST00094,41.0,Male,59503.6,West,424
CUST00095,43.0,Male,90922.01,South,1756
CUST00096,42.0,Other,110978.53,North,905
CUST00097,62.0,Male,65921.02,Central,1513
CUST00098,58.0,Female,51702.46,East,1888
CUST00099,46.0,Other,64621.1,West,1746
CUST00100,32.0,Male,70977.8,West,964
CUST00101,62.0,Male,49227.98,West,1131
CUST00102,18.0,Male,87313.8,East,981
CUST00103,42.0,Male,59141.27,North,1465
CUST00104,,Male,63959.38,South,104
CUST00105,26.0,Female,66986.64,North,324
CUST00106,41.0,Male,62588.56,South,1846
CUST00107,18.0,Female,70100.93,West,50
CUST00108,61.0,Other,43889.44,North,1959
CUST00109,25.0,Female,44950.57,West,1224
CUST00110,41.0,Female,35197.22,Central,1068
CUST00111,28.0,Male,62911.02,West,1264
CUST00112,68.0,Female,69020.86,West,589
CUST00113,34.0,Female,63239.91,South,1139
CUST00114,25.0,Male,85140.86,Central,1202
CUST00115,52.0,Male,54899.27,West,1753
CUST00116,52.0,Female,67037.35,West,401
CUST00117,50.0,Male,35349.38,Central,1533
CUST00118,22.0,Male,48032.21,Central,847
CUST00119,59.0,Male,67519.68,North,1204
CUST00120,56.0,Male,70283.84,South,1194
CUST00121,58.0,Female,49708.59,Central,1122
CUST00122,45.0,Female,53711.21,Central,1313
CUST00123,24.0,Female,27678.27,East,875
CUST00124,26.0,Male,48573.47,Central,550
CUST00125,25.0,Male,71026.9,South,1686
CUST00126,29.0,Female,65353.69,West,400
CUST00127,51.0,Male,64011.98,West,1472
CUST00128,50.0,Male,55895.93,West,130
CUST00129,65.0,Female,55127.14,West,690
CUST00130,40.0,Male,43114.22,East,1711
CUST00131,41.0,Female,67578.91,Central,1918
CUST00132,54.0,Male,62577.51,West,997
CUST00133,52.0,Male,63856.34,North,272
CUST00134,,Male,45531.37,West,782
CUST00135,,Other,16239.83,Central,541
CUST00136,39.0,Female,74748.75,West,878
CUST00137,44.0,Other,46380.93,East,584
CUST00138,52.0,Female,39470.04,South,1148
CUST00139,,Male,67482.62,South,255
CUST00140,52.0,Female,47943.77,Central,1571
CUST00141,54.0,Male,74078.85,South,243
CUST00142,64.0,Female,66106.11,South,747
CUST00143,31.0,Male,67304.25,North,96
CUST00144,,Female,30412.8,Central,425
CUST00145,18.0,Male,76814.99,Central,641
CUST00146,22.0,Male,59702.51,South,1065
CUST00147,43.0,Female,48353.01,South,1290
CUST00148,31.0,Female,57580.99,South,1887
